id,name,category,price ,size,color ,description,image
1,Nami Fuji White,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/1.png
2,Sakura Tree White,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/2.png
3,Ninja White,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/3.png
4,Nami Fuji Black,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/4.png
5,Sakura Tree Black,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/5.png
6,Geisha,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White,100% Cotton T-Shirt printed in Japan.,img/TShirts/6.png
7,Number One Red,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,Red/White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/7.png
8,Number One Black,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,Red/White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/8.png
9,Number One White,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,Red/White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/9.png
10,Tokyo Red,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,Red/Black,Red/Black,img/TShirts/10.png
11,Tokyo Black(Gold),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,Red/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/11.png
12,Tokyo Black(White),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,Red/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/12.png
13,Tower Kaminarimon(White),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/13.png
14,Tower Kaminarimon(Black),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/14.png
15,Ninja Black,T-Shirt,¥1300,100/110/120/130/140/150 cm,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/15.png
16,Ninja White,T-Shirt,¥1300,100/110/120/130/140/150 cm,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/16.png
17,Bear and Tower ,T-Shirt,¥1300,100/110/120/130/140/150 cm,White,100% Cotton T-Shirt printed in Japan.,img/TShirts/17.png
18,Maiko Child,T-Shirt,¥1300,100/110/120/130/140/150 cm,White ,100% Cotton T-Shirt printed in Japan.,img/TShirts/18.png
19,Mameshiba Map,T-Shirt,¥1300,100/110/120/130/140/150 cm,White,100% Cotton T-Shirt printed in Japan.,img/TShirts/19.png
20,Japan Map(Black),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/20.png
21,Japan Map(White),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/21.png
22,Tokyo Mameshiba,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White,100% Cotton T-Shirt printed in Japan.,img/TShirts/22.png
23,Kyoto Mameshiba,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White,100% Cotton T-Shirt printed in Japan.,img/TShirts/23.png
24,Osaka Mameshiba,T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White,100% Cotton T-Shirt printed in Japan.,img/TShirts/24.png
25,Samurai(Black),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/25.png
26,Samurai(White),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/26.png
27,Nami Fuji White(Hoodie),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/27.png
28,Sakura Tree White(Sweater),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/28.png
29,Tower View Black(Sweater),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/29.png
30,Tower View White(Sweater),T-Shirt,¥1300,XS / S / M / L / XL / 2XL / 3XL,White/Black,100% Cotton T-Shirt printed in Japan.,img/TShirts/30.png
31,Tokyo Black Bag,Robin Ruth,¥3700,24 × 16 cm,,Robin Ruth Handbag.,img/Bags/1.png
32,Tokyo White Bag,Robin Ruth,¥3700,24 × 16 cm,,Robin Ruth Handbag.,img/Bags/4.png
33,Tokyo Gray Bag,Robin Ruth,¥3700,24 × 16 cm,,Robin Ruth Handbag.,img/Bags/5.png
34,apan Gray Bag,Robin Ruth,¥3700,24 × 16 cm,,Robin Ruth Handbag.,img/Bags/2.png
35,Japn Beige Bag,Robin Ruth,¥3700,24 × 16 cm,,Robin Ruth Handbag.,img/Bags/3.png
36,Kaminarimon,Magnet,¥450,,,Japan souvenir magnets,img/Magnets/1.png
37,Tokyo Bridge,Magnet,¥450,,,Japan souvenir magnets,img/Magnets2.png
38,Tokyo Fuji,Magnet,¥450,,,Japan souvenir magnets,img/Magnets/3.png
39,Hanabi,Magnet,¥450,,,Japan souvenir magnets,img/Magnets/4.png
40,Kaminarimon,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/5png
41,Daruma,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/6.png
42,Nihon,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/7.png
43,Tokyo,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/8.png
44,Fox,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/9.png
45,Bell,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/10.png
46,Red girl,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/11.png
47,Geisha,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/12.png
48,Ninja,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/13.png
49,Sumo small,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/14.png
50,Sumo Big,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/15.png
51,Geisha Gril,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/16png
52,Maneki Neko,Magnet,¥600,,,Japan souvenir magnets,img/Magnets/17.png
53,Tokyo Mao,Mugs,¥1000,,,Porcelain Cup,img/Mugs/1.png
54,Mix,Mugs,¥1000,,,Porcelain Cup,img/Mugs/2.png
55,Tower,Mugs,¥1000,,,Porcelain Cup,img/Mugs/3.png
